droplet_number,ok_down,N_down,R2_down,v_down_mps_wls,v_down_stderr_mps_wls,V_stop_V,V_stop_sigma_V,radius,effective_viscosity,q_C_method1_slip,q_stderr_C_total,n_e_estimate,residual_score
74,True,85.0,0.9990072803740748,4.958920874172568e-05,2.77891446707604e-07,500.0,1.0,6.388884957858529e-07,1.5668796934393974e-05,1.1228720403436628e-19,2.8635475444345258e-21,0.7008416029263244,
75,True,109.0,0.9980477614933508,3.0722294373991554e-05,2.6462975543234485e-07,140.0,1.0,4.925796299538789e-07,1.5033909960641966e-05,1.8379190403701089e-19,5.028621144686147e-21,1.147138836859425,
76,False,17.0,0.7756855222575558,4.138490239603989e-06,5.260375240528265e-07,140.0,1.0,1.5350175235377143e-07,1.0838206836807117e-05,5.562077624489487e-21,6.865183992573095e-22,0.0347157579661063,
77,True,46.0,0.991174030447438,2.3165091964593224e-05,5.374585550106835e-07,170.0,1.0,4.2149050242890807e-07,1.4598702287281509e-05,9.482864080635691e-20,3.104315609586946e-21,0.5918738221116568,
78,False,73.0,0.8565061781443577,4.586025225685968e-05,5.986522783220749e-06,400.0,1.0,6.12525818954794e-07,1.5573457957506875e-05,1.2369104988308196e-19,1.3441574905503568e-20,0.772018810274835,
79,False,24.0,0.1739500941966255,5.0206807959800814e-06,6.146893337416979e-06,500.0,1.0,1.7304446343178032e-07,1.1353388551950142e-05,2.231147024225671e-21,2.5302159988101445e-21,0.013925724398160654,
80,True,36.0,0.9803883682088448,1.4205880626337357e-05,5.207415238025639e-07,110.0,1.0,3.200716300739212e-07,1.3727735321039927e-05,6.417618964396088e-20,2.6956608880269757e-21,0.4005562700270967,
81,False,33.0,0.7969770268465625,1.4604011868768524e-05,2.3656575977036344e-06,210.0,1.0,3.2515588955767045e-07,1.3781096288152596e-05,3.5243631191055083e-20,4.972617016096527e-21,0.2199734438959187,
82,True,92.0,0.9965710990576846,4.9381437768452666e-05,5.775766272602223e-07,310.0,1.0,6.374460879113576e-07,1.5663755105162462e-05,1.7988450474468192e-19,4.8457945918322544e-21,1.1227507687188125,
83,False,39.0,0.9697140432810284,2.9824586414636493e-05,1.273249026276764e-06,400.0,1.0,4.846270527739381e-07,1.4990412095841387e-05,6.12615580165804e-20,2.665090972410273e-21,0.38236457027609105,
84,False,18.0,0.9603618648262108,5.7199411888641926e-05,3.2851579832898187e-06,250.0,1.0,6.897934806409218e-07,1.5835045010487484e-05,2.8264565650355137e-19,1.4866185327033886e-20,1.7641354299238357,
