droplet_number,v_down_mps_wls,v_down_stderr_wls,R2_down,chi2red_down,N_down,v_up_mps_wls,v_up_stderr_wls,R2_up,chi2red_up,N_up,v_down_mps_ols,v_down_stderr_ols,v_up_mps_ols,v_up_stderr_ols,ok_down,ok_up
13,4.1173955687454196e-05,1.565380993786149e-07,0.9995876967685431,7.837142787534593,200,5.649233147418573e-05,4.2717275923506274e-07,0.9985562981829484,31.661878850713688,124,4.111269608663293e-05,5.915335740811828e-08,5.607359438358651e-05,1.8651625305670827e-07,True,True
14,4.0304190276118435e-05,1.994958937863408e-07,0.999038212833327,4.187642683832241,151,3.57495980770369e-05,1.7421351944437395e-07,0.9990661022400031,33.18650758731582,308,4.043636217390144e-05,1.0212552220512504e-07,3.593267995089569e-05,6.185527874777139e-08,True,True
15,5.3566325719636025e-05,1.84719697637541e-07,0.9996281986263867,6.058167684747839,200,3.340745681945094e-05,3.5394916628959136e-07,0.9970778850926929,27.797770056579942,197,5.386662070397916e-05,7.066796196899568e-08,3.3717370374368215e-05,1.2825509195402845e-07,True,True
16,3.057158619833526e-05,1.431897575892008e-07,0.9991413415165554,4.016877297161223,172,3.155550063165477e-05,1.1266134433763871e-07,0.9994040959930487,10.451108724245097,248,3.0476122576079394e-05,6.803637018777526e-08,3.1486329481234515e-05,4.8459564424477504e-08,True,True
17,4.7789918381206294e-05,1.7058516801736769e-07,0.9995983724585101,4.412869809482006,171,4.977775062972819e-05,2.256418592063322e-07,0.9995713379425957,1.6667600600489292,85,4.771023370274578e-05,7.328088929582266e-08,4.9911306204055835e-05,1.124954940701175e-07,True,True
18,4.944420493944887e-05,2.53364527086456e-07,0.9990592699935814,15.551615617340392,250,4.71396576414748e-05,2.1684232320189023e-07,0.9992703765274452,8.975665395725457,122,4.897820395895567e-05,9.068920619150109e-08,4.701279056082591e-05,1.1512991965433018e-07,True,True
19,4.2845325351356886e-05,2.6426232943023116e-07,0.9989112880353145,10.993833219701823,192,3.934725968329876e-05,1.1553353875387966e-07,0.9996258297003336,8.734356598998096,268,4.2525328320663405e-05,9.914758093311478e-08,3.9115365457112246e-05,4.389146094163149e-08,True,True
20,3.055037773109702e-05,1.376476527216321e-07,0.9991824445281077,10.832267074554553,291,5.6573217316424515e-05,3.0819030406055184e-07,0.9993848585600965,8.372229058383569,116,3.0474011036370738e-05,5.104952777667296e-08,5.655995966513784e-05,1.3138037487991737e-07,True,True
21,3.948935907536065e-05,2.125976926707978e-07,0.9988056429235901,8.914176618033167,182,2.748519436299836e-05,4.623233697609541e-07,0.995209244063753,3.3056849501448258,67,3.954485559586829e-05,1.008887669333773e-07,2.7557604818359855e-05,2.3332197485758458e-07,True,True
22,3.196559531327582e-05,1.6961677663969213e-07,0.9991379493572677,3.730246631151222,139,3.190326714485032e-05,3.904451790834565e-07,0.995761506122141,65.55645245348809,185,3.198942532403523e-05,8.009752648866269e-08,3.177089863625629e-05,1.5280759650364065e-07,True,True
