droplet_number,ok_down,ok_up,N_down,N_up,R2_down,R2_up,v_down_mps_wls,v_up_mps_wls,v_down_stderr_mps_wls,v_up_stderr_mps_wls,V_rise_V,radius,effective_viscosity,q_method2,q_unc_from_v,n_e_estimate
25,True,True,162,256,0.9993256193691016,0.9968640698206648,5.910994458519244e-05,2.165248328914299e-05,2.811740581765e-07,2.094575750643062e-07,683.0,7.020344493345701e-07,1.587190261574093e-05,1.4901447255173942e-19,1.023595143310131e-21,0.9300751826576659
26,True,True,189,122,0.9999125006795972,0.999404585098141,7.942522110471316e-05,5.559123606004323e-05,1.4037681061667962e-07,2.90351395303711e-07,683.0,8.216655510458579e-07,1.6180965083025333e-05,2.972472720554397e-19,8.901550791314216e-22,1.855271545892734
27,True,True,157,247,0.9971303822924495,0.9994225751401912,3.491669485013919e-05,3.852958633132838e-05,3.683518928110648e-07,1.3649770802895244e-07,426.3,5.28297389711132e-07,1.5215859766166994e-05,1.5663247617931276e-19,1.8603807586534533e-21,0.9776230214284399
28,True,True,248,154,0.999541856750582,0.9987302278368226,3.3870715619196706e-05,4.1647648805470256e-05,1.0165693540741419e-07,2.628183474544332e-07,454.5,5.19598758268858e-07,1.5173456757265686e-05,1.4815751912486301e-19,7.068010925124083e-22,0.9247265000674265
29,True,True,130,229,0.998716804040026,0.9990294836391408,4.479202474728111e-05,3.491202299653607e-05,3.409099660136481e-07,1.9338052916777466e-07,560.8,6.04779134961808e-07,1.5544100634666537e-05,1.511078911791471e-19,1.408811623749771e-21,0.9431412740172762
30,True,True,270,241,0.997178810962385,0.9948762533705402,3.614083277785168e-05,1.4057592634605184e-05,3.108043044181858e-07,1.7420504327180248e-07,317.0,5.383151995247594e-07,1.5263278340053225e-05,1.4715250937658797e-19,1.788255946760819e-21,0.9184537226036463
31,True,True,312,240,0.9985421454942456,0.9993887610610248,3.191940959089044e-05,3.289427685703815e-05,1.1561668512921999e-07,1.3179107491290442e-07,382.1,5.030077042804381e-07,1.5089231410407391e-05,1.4560752352145925e-19,6.679527452290011e-22,0.9088106793689469
32,True,True,176,332,0.9979586703307414,0.9964118824963558,3.2167158892977794e-05,2.1400303651497828e-05,2.534218554355869e-07,1.691823377030396e-07,285.5,5.051415258322389e-07,1.5100319413599634e-05,1.6186261079574493e-19,1.6651474078335039e-21,1.0102669540975526
33,True,True,339,228,0.994888875982304,0.9986662543553408,2.6181145172628658e-05,3.31994531442719e-05,2.3699783947552246e-07,1.8617993887043464e-07,349.0,4.51064952327513e-07,1.47932032256542e-05,1.2840230590388615e-19,1.3385525214470055e-21,0.8014241574807922
34,True,True,223,187,0.9990721952090535,0.9989250344938488,4.878410893720142e-05,4.343085354602068e-05,2.658498050813484e-07,2.604596845876905e-07,680.0,6.332823710876971e-07,1.5649090967753365e-05,1.519957232845143e-19,1.0409103632337908e-21,0.948682686159523
35,True,True,192,364,0.9961557301562088,0.9971343536788788,3.544932730563497e-05,2.416806126032723e-05,4.282428308730229e-07,1.5216108124256357e-07,419.0,5.326772723969119e-07,1.5236774176223402e-05,1.3060761449710026e-19,1.9694168380799853e-21,0.8151886110773244
36,True,True,234,221,0.9992113209126278,0.9979220128795964,4.640516920684562e-05,4.3859876237145e-05,1.9663415753715386e-07,3.9931253447094325e-07,681.0,6.164429864151528e-07,1.5588063479080608e-05,1.4404890063285472e-19,9.402978946319211e-22,0.8990825204660595
